;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwelling index;Date;Time;Occupancy;Activity;Lighting demand;Appliance demand;Casual thermal gains from occupants, lighting and appliances;Outdoor temperature;Outdoor global radiation (horizontal);Passive solar gains;Primary heating system thermal output;External building node temperature;Internal building node temperature;Hot water demand (litres);Hot water temperature in hot water tank;Space heating timer settings;Hot water heating timer settings;Heating system switched on;Hot water heating required;Emitter temperature;Radiation incident on PV array;PV output;Net dwelling electricity demand;Heat output from primary heating system to space;Heat output from primary heating system to hot water;Fuel flow rate (gas);Solar power incident on collector;Solar thermal collector control state;Solar thermal collector temperature;Heat gains to cylinder from solar thermal collector;Dwelling self-consumption;Space cooling timer settings;Cooling system switched on;Cooling output from cooling system to space;Cooler Emitter temperature;Heating Thermostat Set Point;Cooling Thermostat Set Point;Electricity used by cooling system;Electricity used by heating system
;;;;;Plight;Pa;θc;θo;Go;φs;φh;θb;θi;;θcyl;;;;;θem;Gi;Ppv;Pnet;φh, space;φh, water;mfuel;;;θcollector;φcollector;Pself;;;φh, space;θem;θem;θem;;
;;;;;W;W;W;°C;Wm-2;W;W;°C;°C;ltr.min-1;°C;;;;;°C;Wm-2;W;W;W;W;m3/h;W;;°C;W;kWh;;;W;°C;°C;°C;W;W
1;02/08/2015;1.07.00 AM;1;0;0;64;132,9;11,10779863;0;0;0;16,58965824;18,02451864;0;61,35511805;0;1;0;0;18,33376995;0;0;64;0;0;0;0;0;11,81881763;0;0;0;0;0;18,04955338;19;24;0;0
1;02/08/2015;1.08.00 AM;1;0;0;64;132,9;11,09056549;0;0;0;16,58591256;18,00030955;0;61,34768994;0;1;0;0;18,3232512;0;0;64;0;0;0;0;0;11,81098712;0;0;0;0;0;18,02451864;19;24;0;0
1;02/08/2015;1.09.00 AM;1;0;0;64;132,9;11,08233235;0;0;0;16,58213759;17,97689585;0;61,34025896;0;1;0;0;18,31226679;0;0;64;0;0;0;0;0;11,80305246;0;0;0;0;0;18,00030955;19;24;0;0
1;02/08/2015;1.10.00 AM;1;0;0;64;132,9;11,07434921;0;0;0;16,57833459;17,95423761;0;61,33282524;0;1;0;0;18,30085961;0;0;64;0;0;0;0;0;11,79511449;0;0;0;0;0;17,97689585;19;24;0;0
1;02/08/2015;1.11.00 AM;1;0;0;64;132,9;11,06686607;0;0;0;16,57450504;17,93229767;0;61,32538891;0;1;0;0;18,28906975;0;0;64;0;0;0;0;0;11,78717603;0;0;0;0;0;17,95423761;19;24;0;0
1;02/08/2015;1.12.00 AM;1;0;0;64;132,9;11,05938293;0;0;0;16,57064988;17,91104023;0;61,3179501;0;1;0;0;18,27693465;0;0;64;0;0;0;0;0;11,7792426;0;0;0;0;0;17,93229767;19;24;0;0
1;02/08/2015;1.13.00 AM;1;0;0;64;132,9;11,05189979;0;0;0;16,56676999;17,8904315;0;61,31050891;0;1;0;0;18,26448926;0;0;64;0;0;0;0;0;11,77131417;0;0;0;0;0;17,91104023;19;24;0;0
1;02/08/2015;1.14.00 AM;1;0;0;64;132,9;11,04316665;0;0;0;16,56286497;17,87043787;0;61,30306547;0;1;0;0;18,2517662;0;0;64;0;0;0;0;0;11,76339066;0;0;0;0;0;17,8904315;19;24;0;0
1;02/08/2015;1.15.00 AM;1;0;0;64;132,9;11,03268351;0;0;0;16,55893386;17,85102687;0;61,29561988;0;1;0;0;18,23879585;0;0;64;0;0;0;0;0;11,75545819;0;0;0;0;0;17,87043787;19;24;0;0
1;02/08/2015;1.16.00 AM;1;0;0;64;132,9;11,02220037;0;0;0;16,55497744;17,83217009;0;61,28817223;0;1;0;0;18,22560643;0;0;64;0;0;0;0;0;11,74749746;0;0;0;0;0;17,85102687;19;24;0;0
1;02/08/2015;1.17.00 AM;1;0;0;64;132,9;11,01171723;0;0;0;16,55099643;17,81384061;0;61,28072263;0;1;0;0;18,21222424;0;0;64;0;0;0;0;0;11,73950879;0;0;0;0;0;17,83217009;19;24;0;0
1;02/08/2015;1.18.00 AM;1;0;0;64;132,9;10,99998409;0;0;0;16,54699027;17,79601133;0;61,27327117;0;1;0;0;18,19867378;0;0;64;0;0;0;0;0;11,73149249;0;0;0;0;0;17,81384061;19;24;0;0
1;02/08/2015;1.19.00 AM;1;0;0;64;132,9;10,98450095;0;0;0;16,5429559;17,77865322;0;61,26581792;0;1;0;0;18,18497778;0;0;64;0;0;0;0;0;11,723435;0;0;0;0;0;17,79601133;19;24;0;0
1;02/08/2015;1.20.00 AM;1;0;0;64;132,9;10,9670178;0;0;0;16,53889195;17,76174106;0;61,25836298;0;1;0;0;18,17115721;0;0;64;0;0;0;0;0;11,71529524;0;0;0;0;0;17,77865322;19;24;0;0
1;02/08/2015;1.21.00 AM;1;0;0;64;132,9;10,94953466;0;0;0;16,53479903;17,74525353;0;61,25090642;0;1;0;0;18,1572315;0;0;64;0;0;0;0;0;11,70705194;0;0;0;0;0;17,76174106;19;24;0;0
